2020-12-08 11:59:24.110 [DEBU] [  9 ms] [default] SHOW FULL COLUMNS FROM `sys_job`
2020-12-08 11:59:24.124 [DEBU] [ 12 ms] [default] SELECT * FROM `sys_job` WHERE `status`=0
2020-12-08 11:59:24.126 [DEBU] [  0 ms] [default] INSERT INTO `sys_job`(`job_group`,`cron_expression`,`status`,`create_by`,`job_id`,`job_params`,`concurrent`,`job_name`,`misfire_policy`,`create_time`,`update_by`,`remark`,`invoke_target`,`update_time`) VALUES('DEFAULT','5 */10 * * * *',0,2,8,'',0,'在线用户定时更新',1,1596763977,2,'','checkUserOnline',1596768044) ON DUPLICATE KEY UPDATE `invoke_target`=VALUES(`invoke_target`),`update_time`=VALUES(`update_time`),`job_group`=VALUES(`job_group`),`cron_expression`=VALUES(`cron_expression`),`status`=VALUES(`status`),`create_by`=VALUES(`create_by`),`job_id`=VALUES(`job_id`),`job_params`=VALUES(`job_params`),`concurrent`=VALUES(`concurrent`),`job_name`=VALUES(`job_name`),`misfire_policy`=VALUES(`misfire_policy`),`create_time`=VALUES(`create_time`),`update_by`=VALUES(`update_by`),`remark`=VALUES(`remark`)
2020-12-08 11:59:51.041 [DEBU] [  6 ms] [default] SHOW FULL COLUMNS FROM `blog_log`
2020-12-08 11:59:51.047 [DEBU] [  5 ms] [default] SHOW FULL COLUMNS FROM `blog_classification`
2020-12-08 11:59:51.048 [DEBU] [  0 ms] [default] SELECT COUNT(1) FROM `blog_log` log LEFT JOIN `blog_classification` cf ON (cf.classification_id=log.log_type) WHERE log.log_status = 1
2020-12-08 11:59:51.049 [DEBU] [  0 ms] [default] SELECT log.*,cf.classification_name FROM `blog_log` log LEFT JOIN `blog_classification` cf ON (cf.classification_id=log.log_type) WHERE log.log_status = 1 ORDER BY `log`.`log_sort` asc,`log`.`log_id` desc LIMIT 0,8
2020-12-08 11:59:51.052 [DEBU] [  0 ms] [default] SELECT log.*,cf.classification_name FROM `blog_log` log LEFT JOIN `blog_classification` cf ON (cf.classification_id=log.log_type) WHERE (log.log_status = 1) AND (log.log_sign = 1) ORDER BY `log`.`log_sort` asc,`log`.`creat_time` desc LIMIT 3
2020-12-08 11:59:51.054 [DEBU] [  1 ms] [default] SELECT log.*,cf.classification_name FROM `blog_log` log LEFT JOIN `blog_classification` cf ON (cf.classification_id=log.log_type) WHERE (log.log_status = 1) AND (log.log_sign = 2) ORDER BY `log`.`log_sort` asc,`log`.`creat_time` desc LIMIT 3
2020-12-08 11:59:51.056 [DEBU] [  0 ms] [default] SELECT * FROM `blog_log` ORDER BY `log_hits` desc
2020-12-08 11:59:51.063 [DEBU] [  6 ms] [default] SHOW FULL COLUMNS FROM `plug_link`
2020-12-08 11:59:51.082 [DEBU] [ 19 ms] [default] SELECT `link_name`,`link_url`,`link_target` FROM `plug_link` WHERE (link_typeid = 13) AND (link_open = 1) ORDER BY `link_order` asc,`link_addtime` desc LIMIT 6
2020-12-08 11:59:51.088 [DEBU] [  5 ms] [default] SHOW FULL COLUMNS FROM `plug_ad`
